entity,ministry,source_document,source_url
"May 16, 2025",Advanced Education,Page Content: Advanced Education | Alberta.ca,https://www.alberta.ca/advanced-education
Search,Advanced Education,Page Content: Advanced Education | Alberta.ca,https://www.alberta.ca/advanced-education
Popular,Advanced Education,Page Content: Advanced Education | Alberta.ca,https://www.alberta.ca/advanced-education
$15,Advanced Education,Page Content: Advanced Education | Alberta.ca,https://www.alberta.ca/advanced-education
Search Alberta,Advanced Education,Page Content: Advanced Education | Alberta.ca,https://www.alberta.ca/advanced-education
"June 17, 2025",Advanced Education,Page Content: Advanced Education | Alberta.ca,https://www.alberta.ca/advanced-education
$312,Advanced Education,Page Content: Advanced Education | Alberta.ca,https://www.alberta.ca/advanced-education
Refocusing,Advanced Education,Page Content: Advanced Education | Alberta.ca,https://www.alberta.ca/advanced-education
Skip,Advanced Education,Page Content: Advanced Education | Alberta.ca,https://www.alberta.ca/advanced-education
"$300,000",Advanced Education,Page Content: Advanced Education | Alberta.ca,https://www.alberta.ca/advanced-education
Advanced Education,Advanced Education,Page Content: Advanced Education | Alberta.ca,https://www.alberta.ca/advanced-education
Alberta,Advanced Education,Page Content: Advanced Education | Alberta.ca,https://www.alberta.ca/advanced-education
Community Adult Learning Program,Advanced Education,Page Content: Community Adult Learning Program | Alberta.ca,https://www.alberta.ca/community-adult-learning-program
Search,Advanced Education,Page Content: Community Adult Learning Program | Alberta.ca,https://www.alberta.ca/community-adult-learning-program
Popular,Advanced Education,Page Content: Community Adult Learning Program | Alberta.ca,https://www.alberta.ca/community-adult-learning-program
Search Alberta,Advanced Education,Page Content: Community Adult Learning Program | Alberta.ca,https://www.alberta.ca/community-adult-learning-program
"June 17, 2025",Advanced Education,Page Content: Community Adult Learning Program | Alberta.ca,https://www.alberta.ca/community-adult-learning-program
Skip,Advanced Education,Page Content: Community Adult Learning Program | Alberta.ca,https://www.alberta.ca/community-adult-learning-program
Refocusing,Advanced Education,Page Content: Community Adult Learning Program | Alberta.ca,https://www.alberta.ca/community-adult-learning-program
Alberta,Advanced Education,Page Content: Community Adult Learning Program | Alberta.ca,https://www.alberta.ca/community-adult-learning-program
"$69,999",Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
"$50,000",Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
$232,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
$290,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
"$89,999",Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
"$60,000",Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
$612,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
$128,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
Skip,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
$366,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
$181,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
"$75,000",Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
"$54,999",Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
Alberta,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
"$80,000",Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
"$70,000",Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
$225,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
"$90,000",Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
$547,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
$238,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
$0,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
"$85,000",Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
Popular,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
"$79,999",Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
Search Alberta,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
"June 17, 2025",Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
1-844-644-5165,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
$644,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
Refocusing,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
"$55,000",Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
$419,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
"$84,999",Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
$201,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
$284,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
$129,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
$335,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
"$74,999",Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
Search,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
$439,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
$311,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
$100,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
$161,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
"$49,999",Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
"$65,000",Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
"$59,999",Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
Child,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
$165,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
"$64,999",Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
$275,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
$516,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
780-644-9992,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
$490,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
1-877-644-9992,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
$387,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
$483,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
$354,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
$92,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
$348,Advanced Education,Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy
Search,Advanced Education,Page Content: Open Government program | Alberta.ca,https://www.alberta.ca/open-government-program
Popular,Advanced Education,Page Content: Open Government program | Alberta.ca,https://www.alberta.ca/open-government-program
Search Alberta,Advanced Education,Page Content: Open Government program | Alberta.ca,https://www.alberta.ca/open-government-program
"June 17, 2025",Advanced Education,Page Content: Open Government program | Alberta.ca,https://www.alberta.ca/open-government-program
Skip,Advanced Education,Page Content: Open Government program | Alberta.ca,https://www.alberta.ca/open-government-program
Refocusing,Advanced Education,Page Content: Open Government program | Alberta.ca,https://www.alberta.ca/open-government-program
Open Government,Advanced Education,Page Content: Open Government program | Alberta.ca,https://www.alberta.ca/open-government-program
Alberta,Advanced Education,Page Content: Open Government program | Alberta.ca,https://www.alberta.ca/open-government-program
Search,Advanced Education,Page Content: Elder abuse – Get help | Alberta.ca,https://www.alberta.ca/get-help-elder-abuse
Popular,Advanced Education,Page Content: Elder abuse – Get help | Alberta.ca,https://www.alberta.ca/get-help-elder-abuse
Search Alberta,Advanced Education,Page Content: Elder abuse – Get help | Alberta.ca,https://www.alberta.ca/get-help-elder-abuse
"June 17, 2025",Advanced Education,Page Content: Elder abuse – Get help | Alberta.ca,https://www.alberta.ca/get-help-elder-abuse
1-877-644-9992,Advanced Education,Page Content: Elder abuse – Get help | Alberta.ca,https://www.alberta.ca/get-help-elder-abuse
Skip,Advanced Education,Page Content: Elder abuse – Get help | Alberta.ca,https://www.alberta.ca/get-help-elder-abuse
Refocusing,Advanced Education,Page Content: Elder abuse – Get help | Alberta.ca,https://www.alberta.ca/get-help-elder-abuse
Alberta,Advanced Education,Page Content: Elder abuse – Get help | Alberta.ca,https://www.alberta.ca/get-help-elder-abuse
