title,url,ministry,source_page,context,file_type
AISearch fact sheet,https://www.alberta.ca/system/files/ti-searchai-on-alberta-ca.pdf,Advanced Education,https://www.alberta.ca/advanced-education,Try our new Search AI toolas an alternative to the search below to improve your experience on Alberta.ca using artificial intelligence. See theAISearch fact sheetfor more information....,pdf
Read the mandate letter,https://open.alberta.ca/dataset/bf7f9a42-a807-49b3-8ba3-451ae3bc2d2f/resource/e29f7d8b-73c4-4dd4-af7d-833ae3e01bef/download/ae-mandate-letter-advanced-education-2023.pdf,Advanced Education,https://www.alberta.ca/advanced-education,Read the mandate letterSee all mandate letters...,pdf
AISearch fact sheet,https://www.alberta.ca/system/files/ti-searchai-on-alberta-ca.pdf,Advanced Education,https://www.alberta.ca/advanced-education,Try our new Search AI toolas an alternative to the search below to improve your experience on Alberta.ca using artificial intelligence. See theAISearch fact sheetfor more information....,pdf
Read the mandate letter,https://open.alberta.ca/dataset/bf7f9a42-a807-49b3-8ba3-451ae3bc2d2f/resource/e29f7d8b-73c4-4dd4-af7d-833ae3e01bef/download/ae-mandate-letter-advanced-education-2023.pdf,Advanced Education,https://www.alberta.ca/advanced-education,Read the mandate letterSee all mandate letters...,pdf
Page Content: Advanced Education | Alberta.ca,https://www.alberta.ca/advanced-education,Advanced Education,https://www.alberta.ca/advanced-education,"Entities found: May 16, 2025, Search, Popular, $15, Search Alberta, June 17, 2025, $312, Refocusing, Skip, $300,000",webpage
AISearch fact sheet,https://www.alberta.ca/system/files/ti-searchai-on-alberta-ca.pdf,Advanced Education,https://www.alberta.ca/community-adult-learning-program,Try our new Search AI toolas an alternative to the search below to improve your experience on Alberta.ca using artificial intelligence. See theAISearch fact sheetfor more information....,pdf
AISearch fact sheet,https://www.alberta.ca/system/files/ti-searchai-on-alberta-ca.pdf,Advanced Education,https://www.alberta.ca/community-adult-learning-program,Try our new Search AI toolas an alternative to the search below to improve your experience on Alberta.ca using artificial intelligence. See theAISearch fact sheetfor more information....,pdf
Page Content: Community Adult Learning Program | Alberta.ca,https://www.alberta.ca/community-adult-learning-program,Advanced Education,https://www.alberta.ca/community-adult-learning-program,"Entities found: Community Adult Learning Program, Search, Popular, Search Alberta, June 17, 2025, Skip, Refocusing, Alberta",webpage
AISearch fact sheet,https://www.alberta.ca/system/files/ti-searchai-on-alberta-ca.pdf,Advanced Education,https://www.alberta.ca/child-care-subsidy,Try our new Search AI toolas an alternative to the search below to improve your experience on Alberta.ca using artificial intelligence. See theAISearch fact sheetfor more information....,pdf
AISearch fact sheet,https://www.alberta.ca/system/files/ti-searchai-on-alberta-ca.pdf,Advanced Education,https://www.alberta.ca/child-care-subsidy,Try our new Search AI toolas an alternative to the search below to improve your experience on Alberta.ca using artificial intelligence. See theAISearch fact sheetfor more information....,pdf
Page Content: Child care subsidy | Alberta.ca,https://www.alberta.ca/child-care-subsidy,Advanced Education,https://www.alberta.ca/child-care-subsidy,"Entities found: $69,999, $50,000, $232, $290, $89,999, $60,000, $612, $128, Skip, $366",webpage
AISearch fact sheet,https://www.alberta.ca/system/files/ti-searchai-on-alberta-ca.pdf,Advanced Education,https://www.alberta.ca/open-government-program,Try our new Search AI toolas an alternative to the search below to improve your experience on Alberta.ca using artificial intelligence. See theAISearch fact sheetfor more information....,pdf
AISearch fact sheet,https://www.alberta.ca/system/files/ti-searchai-on-alberta-ca.pdf,Advanced Education,https://www.alberta.ca/open-government-program,Try our new Search AI toolas an alternative to the search below to improve your experience on Alberta.ca using artificial intelligence. See theAISearch fact sheetfor more information....,pdf
