e.name,e.type,e.description,e.source_document,e.ministry,e.confidence
Adult Learning Program,PROGRAM,PROGRAM mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
Rural Electric Program,PROGRAM,PROGRAM mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
Environmental Science Program,PROGRAM,PROGRAM mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
Employment Partnerships Program,PROGRAM,PROGRAM mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
Maintenance Enforcement Program,PROGRAM,PROGRAM mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
Learning Program,PROGRAM,PROGRAM mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
Electric Program,PROGRAM,PROGRAM mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
Science Program,PROGRAM,PROGRAM mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
Partnerships Program,PROGRAM,PROGRAM mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
Enforcement Program,PROGRAM,PROGRAM mentioned in Mental Health and Addiction documents,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,Mental Health and Addiction,0.8
