source_entity,r.relation_type,target_entity,r.description,r.source_document,r.confidence
Adult Learning Program,RELATED_TO,Rural Electric Program,Adult Learning Program related to Rural Electric Program,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,0.7
Adult Learning Program,RELATED_TO,Environmental Science Program,Adult Learning Program related to Environmental Science Program,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,0.7
Adult Learning Program,RELATED_TO,Employment Partnerships Program,Adult Learning Program related to Employment Partnerships Program,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,0.7
Adult Learning Program,RELATED_TO,Learning Program,Adult Learning Program related to Learning Program,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,0.7
Adult Learning Program,RELATED_TO,Electric Program,Adult Learning Program related to Electric Program,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,0.7
Adult Learning Program,RELATED_TO,Science Program,Adult Learning Program related to Science Program,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,0.7
Adult Learning Program,RELATED_TO,Partnerships Program,Adult Learning Program related to Partnerships Program,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,0.7
Adult Learning Program,RELATED_TO,Community Adult Learning Program,Adult Learning Program related to Community Adult Learning Program,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,0.7
Adult Learning Program,RELATED_TO,Alberta Farm Fuel Benefit,Adult Learning Program related to Alberta Farm Fuel Benefit,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,0.7
Adult Learning Program,RELATED_TO,Alberta Energy Regulator,Adult Learning Program related to Alberta Energy Regulator,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing,0.7
Adult Learning Program,RELATED_TO,Rural Electric Program,Adult Learning Program related to Rural Electric Program,https://www.alberta.ca/narcotic-transition-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Environmental Science Program,Adult Learning Program related to Environmental Science Program,https://www.alberta.ca/narcotic-transition-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Employment Partnerships Program,Adult Learning Program related to Employment Partnerships Program,https://www.alberta.ca/narcotic-transition-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Learning Program,Adult Learning Program related to Learning Program,https://www.alberta.ca/narcotic-transition-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Electric Program,Adult Learning Program related to Electric Program,https://www.alberta.ca/narcotic-transition-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Science Program,Adult Learning Program related to Science Program,https://www.alberta.ca/narcotic-transition-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Partnerships Program,Adult Learning Program related to Partnerships Program,https://www.alberta.ca/narcotic-transition-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Community Adult Learning Program,Adult Learning Program related to Community Adult Learning Program,https://www.alberta.ca/narcotic-transition-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Alberta Farm Fuel Benefit,Adult Learning Program related to Alberta Farm Fuel Benefit,https://www.alberta.ca/narcotic-transition-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Alberta Energy Regulator,Adult Learning Program related to Alberta Energy Regulator,https://www.alberta.ca/narcotic-transition-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Rural Electric Program,Adult Learning Program related to Rural Electric Program,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Environmental Science Program,Adult Learning Program related to Environmental Science Program,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Employment Partnerships Program,Adult Learning Program related to Employment Partnerships Program,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Learning Program,Adult Learning Program related to Learning Program,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Electric Program,Adult Learning Program related to Electric Program,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Science Program,Adult Learning Program related to Science Program,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Partnerships Program,Adult Learning Program related to Partnerships Program,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Community Adult Learning Program,Adult Learning Program related to Community Adult Learning Program,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Alberta Farm Fuel Benefit,Adult Learning Program related to Alberta Farm Fuel Benefit,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Alberta Energy Regulator,Adult Learning Program related to Alberta Energy Regulator,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Rural Electric Program,Adult Learning Program related to Rural Electric Program,https://www.alberta.ca/psychedelic-drug-treatment-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Environmental Science Program,Adult Learning Program related to Environmental Science Program,https://www.alberta.ca/psychedelic-drug-treatment-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Employment Partnerships Program,Adult Learning Program related to Employment Partnerships Program,https://www.alberta.ca/psychedelic-drug-treatment-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Learning Program,Adult Learning Program related to Learning Program,https://www.alberta.ca/psychedelic-drug-treatment-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Electric Program,Adult Learning Program related to Electric Program,https://www.alberta.ca/psychedelic-drug-treatment-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Science Program,Adult Learning Program related to Science Program,https://www.alberta.ca/psychedelic-drug-treatment-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Partnerships Program,Adult Learning Program related to Partnerships Program,https://www.alberta.ca/psychedelic-drug-treatment-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Community Adult Learning Program,Adult Learning Program related to Community Adult Learning Program,https://www.alberta.ca/psychedelic-drug-treatment-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Alberta Farm Fuel Benefit,Adult Learning Program related to Alberta Farm Fuel Benefit,https://www.alberta.ca/psychedelic-drug-treatment-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Alberta Energy Regulator,Adult Learning Program related to Alberta Energy Regulator,https://www.alberta.ca/psychedelic-drug-treatment-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Rural Electric Program,Adult Learning Program related to Rural Electric Program,https://www.alberta.ca/supervised-consumption-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Environmental Science Program,Adult Learning Program related to Environmental Science Program,https://www.alberta.ca/supervised-consumption-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Employment Partnerships Program,Adult Learning Program related to Employment Partnerships Program,https://www.alberta.ca/supervised-consumption-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Learning Program,Adult Learning Program related to Learning Program,https://www.alberta.ca/supervised-consumption-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Electric Program,Adult Learning Program related to Electric Program,https://www.alberta.ca/supervised-consumption-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Science Program,Adult Learning Program related to Science Program,https://www.alberta.ca/supervised-consumption-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Partnerships Program,Adult Learning Program related to Partnerships Program,https://www.alberta.ca/supervised-consumption-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Community Adult Learning Program,Adult Learning Program related to Community Adult Learning Program,https://www.alberta.ca/supervised-consumption-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Alberta Farm Fuel Benefit,Adult Learning Program related to Alberta Farm Fuel Benefit,https://www.alberta.ca/supervised-consumption-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Alberta Energy Regulator,Adult Learning Program related to Alberta Energy Regulator,https://www.alberta.ca/supervised-consumption-service-provider-licensing,0.7
Adult Learning Program,RELATED_TO,Rural Electric Program,Adult Learning Program related to Rural Electric Program,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-decision,0.7
