triplet,r.confidence,r.source_document
Adult Learning Program | RELATED_TO | Rural Electric Program,0.7,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing
Adult Learning Program | RELATED_TO | Environmental Science Program,0.7,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing
Adult Learning Program | RELATED_TO | Employment Partnerships Program,0.7,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing
Adult Learning Program | RELATED_TO | Learning Program,0.7,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing
Adult Learning Program | RELATED_TO | Electric Program,0.7,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing
Adult Learning Program | RELATED_TO | Science Program,0.7,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing
Adult Learning Program | RELATED_TO | Partnerships Program,0.7,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing
Adult Learning Program | RELATED_TO | Community Adult Learning Program,0.7,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing
Adult Learning Program | RELATED_TO | Alberta Farm Fuel Benefit,0.7,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing
Adult Learning Program | RELATED_TO | Alberta Energy Regulator,0.7,https://www.alberta.ca/addiction-and-mental-health-service-provider-licensing-appeal-hearing
Adult Learning Program | RELATED_TO | Rural Electric Program,0.7,https://www.alberta.ca/narcotic-transition-service-provider-licensing
Adult Learning Program | RELATED_TO | Environmental Science Program,0.7,https://www.alberta.ca/narcotic-transition-service-provider-licensing
Adult Learning Program | RELATED_TO | Employment Partnerships Program,0.7,https://www.alberta.ca/narcotic-transition-service-provider-licensing
Adult Learning Program | RELATED_TO | Learning Program,0.7,https://www.alberta.ca/narcotic-transition-service-provider-licensing
Adult Learning Program | RELATED_TO | Electric Program,0.7,https://www.alberta.ca/narcotic-transition-service-provider-licensing
Adult Learning Program | RELATED_TO | Science Program,0.7,https://www.alberta.ca/narcotic-transition-service-provider-licensing
Adult Learning Program | RELATED_TO | Partnerships Program,0.7,https://www.alberta.ca/narcotic-transition-service-provider-licensing
Adult Learning Program | RELATED_TO | Community Adult Learning Program,0.7,https://www.alberta.ca/narcotic-transition-service-provider-licensing
